"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\aboutme.html", "HTML", 78, 0, 0, 0, 7, 85
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\bldcubes.html", "HTML", 74, 0, 0, 0, 9, 83
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\corners.html", "HTML", 1127, 0, 0, 1, 22, 1150
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\cubes.css", "CSS", 0, 0, 25, 0, 9, 34
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\footer.css", "CSS", 0, 0, 71, 0, 11, 82
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\global.css", "CSS", 0, 0, 117, 0, 21, 138
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\help.css", "CSS", 0, 0, 61, 0, 8, 69
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\login.css", "CSS", 0, 0, 79, 0, 11, 90
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\main-footer.css", "CSS", 0, 0, 14, 0, 2, 16
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\maingrid.css", "CSS", 0, 0, 86, 0, 12, 98
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\presets.css", "CSS", 0, 0, 73, 0, 13, 86
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\resources.css", "CSS", 0, 0, 25, 0, 3, 28
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\sets.css", "CSS", 0, 0, 164, 1, 27, 192
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\settings.css", "CSS", 0, 0, 276, 3, 40, 319
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\style.css", "CSS", 0, 0, 1, 0, 5, 6
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\terms.css", "CSS", 0, 0, 17, 0, 2, 19
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\tops-main.css", "CSS", 0, 0, 87, 0, 14, 101
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\tops-pt.css", "CSS", 0, 0, 230, 59, 36, 325
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\tops-side.css", "CSS", 0, 0, 36, 0, 5, 41
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\css\training.css", "CSS", 0, 0, 289, 3, 51, 343
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\edges.html", "HTML", 1198, 0, 0, 2, 21, 1221
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\flips.html", "HTML", 435, 0, 0, 1, 17, 453
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\help.html", "HTML", 113, 0, 0, 0, 7, 120
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\index.html", "HTML", 198, 0, 0, 0, 12, 210
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\ltct.html", "HTML", 738, 0, 0, 1, 15, 754
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\midges.html", "HTML", 937, 0, 0, 1, 16, 954
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\parity.html", "HTML", 532, 0, 0, 2, 23, 557
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\pluscenters.html", "HTML", 1068, 0, 0, 1, 18, 1087
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\privacy.html", "HTML", 76, 0, 0, 0, 7, 83
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\resources.html", "HTML", 114, 0, 0, 0, 7, 121
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\script.js", "JavaScript", 0, 1690, 0, 148, 175, 2013
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\terms.html", "HTML", 75, 0, 0, 0, 7, 82
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\twists.html", "HTML", 386, 0, 0, 1, 17, 404
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\wings.html", "HTML", 1014, 0, 0, 1, 15, 1030
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\words.html", "HTML", 1071, 0, 0, 1, 16, 1088
"c:\Users\HP\OneDrive - HTL-Eisenstadt\Dokumente\programming stuff\bld_trainer\xcenters.html", "HTML", 1068, 0, 0, 1, 19, 1088
"Total", "-", 10302, 1690, 1651, 227, 700, 14570
